#Thickness(um)           XX(%)           YY(%)           ZZ(%)      Average(%)
     3.52000         31.4545         31.4545         31.4545         31.4545
     3.53000         31.4545         31.4545         31.4545         31.4545
     3.54000         31.4545         31.4545         31.4545         31.4545
     3.55000         31.4545         31.4545         31.4545         31.4545
     3.56000         31.4545         31.4545         31.4545         31.4545
     3.57000         31.4545         31.4545         31.4545         31.4545
     3.58000         31.4545         31.4545         31.4545         31.4545
     3.59000         31.4546         31.4546         31.4546         31.4546
     3.60000         31.4546         31.4546         31.4546         31.4546
     3.61000         31.4546         31.4546         31.4546         31.4546
     3.62000         31.4546         31.4546         31.4546         31.4546
     3.63000         31.4546         31.4546         31.4546         31.4546
     3.64000         31.4546         31.4546         31.4546         31.4546
     3.65000         31.4546         31.4546         31.4546         31.4546
     3.66000         31.4546         31.4546         31.4546         31.4546
     3.67000         31.4546         31.4546         31.4546         31.4546
     3.68000         31.4546         31.4546         31.4546         31.4546
     3.69000         31.4546         31.4546         31.4546         31.4546
     3.70000         31.4546         31.4546         31.4546         31.4546
     3.71000         31.4547         31.4547         31.4547         31.4547
     3.72000         31.4547         31.4547         31.4547         31.4547
     3.73000         31.4547         31.4547         31.4547         31.4547
     3.74000         31.4547         31.4547         31.4547         31.4547
     3.75000         31.4547         31.4547         31.4547         31.4547
     3.76000         31.4547         31.4547         31.4547         31.4547
     3.77000         31.4547         31.4547         31.4547         31.4547
     3.78000         31.4547         31.4547         31.4547         31.4547
     3.79000         31.4547         31.4547         31.4547         31.4547
     3.80000         31.4547         31.4547         31.4547         31.4547
     3.81000         31.4547         31.4547         31.4547         31.4547
     3.82000         31.4547         31.4547         31.4547         31.4547
     3.83000         31.4547         31.4547         31.4547         31.4547
     3.84000         31.4547         31.4547         31.4547         31.4547
     3.85000         31.4547         31.4547         31.4547         31.4547
     3.86000         31.4547         31.4547         31.4547         31.4547
     3.87000         31.4547         31.4547         31.4547         31.4547
     3.88000         31.4547         31.4547         31.4547         31.4547
     3.89000         31.4547         31.4547         31.4547         31.4547
     3.90000         31.4548         31.4548         31.4548         31.4548
     3.91000         31.4548         31.4548         31.4548         31.4548
     3.92000         31.4548         31.4548         31.4548         31.4548
     3.93000         31.4548         31.4548         31.4548         31.4548
     3.94000         31.4548         31.4548         31.4548         31.4548
     3.95000         31.4548         31.4548         31.4548         31.4548
     3.96000         31.4548         31.4548         31.4548         31.4548
     3.97000         31.4548         31.4548         31.4548         31.4548
     3.98000         31.4548         31.4548         31.4548         31.4548
     3.99000         31.4548         31.4548         31.4548         31.4548
     4.00000         31.4548         31.4548         31.4548         31.4548
     4.01000         31.4548         31.4548         31.4548         31.4548
     4.02000         31.4548         31.4548         31.4548         31.4548
     4.03000         31.4548         31.4548         31.4548         31.4548
     4.04000         31.4548         31.4548         31.4548         31.4548
     4.05000         31.4548         31.4548         31.4548         31.4548
     4.06000         31.4548         31.4548         31.4548         31.4548
     4.07000         31.4548         31.4548         31.4548         31.4548
     4.08000         31.4548         31.4548         31.4548         31.4548
     4.09000         31.4548         31.4548         31.4548         31.4548
     4.10000         31.4548         31.4548         31.4548         31.4548
     4.11000         31.4548         31.4548         31.4548         31.4548
     4.12000         31.4548         31.4548         31.4548         31.4548
     4.13000         31.4548         31.4548         31.4548         31.4548
     4.14000         31.4548         31.4548         31.4548         31.4548
     4.15000         31.4548         31.4548         31.4548         31.4548
     4.16000         31.4548         31.4548         31.4548         31.4548
     4.17000         31.4548         31.4548         31.4548         31.4548
     4.18000         31.4548         31.4548         31.4548         31.4548
     4.19000         31.4548         31.4548         31.4548         31.4548
     4.20000         31.4548         31.4548         31.4548         31.4548
     4.21000         31.4548         31.4548         31.4548         31.4548
     4.22000         31.4548         31.4548         31.4548         31.4548
     4.23000         31.4548         31.4548         31.4548         31.4548
     4.24000         31.4548         31.4548         31.4548         31.4548
     4.25000         31.4548         31.4548         31.4548         31.4548
     4.26000         31.4548         31.4548         31.4548         31.4548
     4.27000         31.4548         31.4548         31.4548         31.4548
     4.28000         31.4548         31.4548         31.4548         31.4548
     4.29000         31.4548         31.4548         31.4548         31.4548
     4.30000         31.4548         31.4548         31.4548         31.4548
     4.31000         31.4548         31.4548         31.4548         31.4548
     4.32000         31.4548         31.4548         31.4548         31.4548
     4.33000         31.4548         31.4548         31.4548         31.4548
     4.34000         31.4549         31.4549         31.4549         31.4549
     4.35000         31.4549         31.4549         31.4549         31.4549
     4.36000         31.4549         31.4549         31.4549         31.4549
     4.37000         31.4549         31.4549         31.4549         31.4549
     4.38000         31.4549         31.4549         31.4549         31.4549
     4.39000         31.4549         31.4549         31.4549         31.4549
     4.40000         31.4549         31.4549         31.4549         31.4549
     4.41000         31.4549         31.4549         31.4549         31.4549
     4.42000         31.4549         31.4549         31.4549         31.4549
     4.43000         31.4549         31.4549         31.4549         31.4549
     4.44000         31.4549         31.4549         31.4549         31.4549
     4.45000         31.4549         31.4549         31.4549         31.4549
     4.46000         31.4549         31.4549         31.4549         31.4549
     4.47000         31.4549         31.4549         31.4549         31.4549
     4.48000         31.4549         31.4549         31.4549         31.4549
     4.49000         31.4549         31.4549         31.4549         31.4549
     4.50000         31.4549         31.4549         31.4549         31.4549
     4.51000         31.4549         31.4549         31.4549         31.4549
     4.52000         31.4549         31.4549         31.4549         31.4549
     4.53000         31.4549         31.4549         31.4549         31.4549
     4.54000         31.4549         31.4549         31.4549         31.4549
     4.55000         31.4549         31.4549         31.4549         31.4549
     4.56000         31.4549         31.4549         31.4549         31.4549
     4.57000         31.4549         31.4549         31.4549         31.4549
     4.58000         31.4549         31.4549         31.4549         31.4549
     4.59000         31.4549         31.4549         31.4549         31.4549
     4.60000         31.4549         31.4549         31.4549         31.4549
     4.61000         31.4549         31.4549         31.4549         31.4549
     4.62000         31.4549         31.4549         31.4549         31.4549
     4.63000         31.4549         31.4549         31.4549         31.4549
     4.64000         31.4549         31.4549         31.4549         31.4549
     4.65000         31.4549         31.4549         31.4549         31.4549
     4.66000         31.4549         31.4549         31.4549         31.4549
     4.67000         31.4549         31.4549         31.4549         31.4549
     4.68000         31.4549         31.4549         31.4549         31.4549
     4.69000         31.4549         31.4549         31.4549         31.4549
     4.70000         31.4549         31.4549         31.4549         31.4549
     4.71000         31.4549         31.4549         31.4549         31.4549
     4.72000         31.4549         31.4549         31.4549         31.4549
     4.73000         31.4549         31.4549         31.4549         31.4549
     4.74000         31.4549         31.4549         31.4549         31.4549
     4.75000         31.4549         31.4549         31.4549         31.4549
     4.76000         31.4549         31.4549         31.4549         31.4549
     4.77000         31.4549         31.4549         31.4549         31.4549
     4.78000         31.4549         31.4549         31.4549         31.4549
     4.79000         31.4549         31.4549         31.4549         31.4549
     4.80000         31.4549         31.4549         31.4549         31.4549
     4.81000         31.4549         31.4549         31.4549         31.4549
     4.82000         31.4549         31.4549         31.4549         31.4549
     4.83000         31.4549         31.4549         31.4549         31.4549
     4.84000         31.4549         31.4549         31.4549         31.4549
     4.85000         31.4549         31.4549         31.4549         31.4549
     4.86000         31.4549         31.4549         31.4549         31.4549
     4.87000         31.4549         31.4549         31.4549         31.4549
     4.88000         31.4549         31.4549         31.4549         31.4549
     4.89000         31.4549         31.4549         31.4549         31.4549
     4.90000         31.4549         31.4549         31.4549         31.4549
     4.91000         31.4549         31.4549         31.4549         31.4549
     4.92000         31.4549         31.4549         31.4549         31.4549
     4.93000         31.4549         31.4549         31.4549         31.4549
     4.94000         31.4549         31.4549         31.4549         31.4549
     4.95000         31.4549         31.4549         31.4549         31.4549
     4.96000         31.4549         31.4549         31.4549         31.4549
     4.97000         31.4549         31.4549         31.4549         31.4549
     4.98000         31.4549         31.4549         31.4549         31.4549
     4.99000         31.4549         31.4549         31.4549         31.4549
     5.00000         31.4549         31.4549         31.4549         31.4549
