             #Energy(eV)         XX(1/Omega/m/s)         YY(1/Omega/m/s)         ZZ(1/Omega/m/s)    Average(1/Omega/m/s)
     -0.109109109109E+01      0.139920075008E+21      0.132217468357E+21      0.124106232681E+21      0.132081258682E+21
     -0.108708708709E+01      0.139895682133E+21      0.132332443969E+21      0.124366678730E+21      0.132198268277E+21
     -0.108308308308E+01      0.139827776027E+21      0.132425880111E+21      0.124630921307E+21      0.132294859148E+21
     -0.107907907908E+01      0.139715968771E+21      0.132495430518E+21      0.124894995764E+21      0.132368798351E+21
     -0.107507507508E+01      0.139559798155E+21      0.132538577682E+21      0.125154100153E+21      0.132417491997E+21
     -0.107107107107E+01      0.139358642396E+21      0.132552602923E+21      0.125402645122E+21      0.132437963480E+21
     -0.106706706707E+01      0.139111658514E+21      0.132534566863E+21      0.125634398761E+21      0.132426874713E+21
     -0.106306306306E+01      0.138817761530E+21      0.132481315584E+21      0.125842718044E+21      0.132380598386E+21
     -0.105905905906E+01      0.138475651684E+21      0.132389520108E+21      0.126020840923E+21      0.132295337572E+21
     -0.105505505506E+01      0.138083885047E+21      0.132255747551E+21      0.126162200182E+21      0.132167277593E+21
     -0.105105105105E+01      0.137640972713E+21      0.132076554395E+21      0.126260714410E+21      0.131992747173E+21
     -0.104704704705E+01      0.137145487854E+21      0.131848587866E+21      0.126311014258E+21      0.131768363326E+21
     -0.104304304304E+01      0.136596159342E+21      0.131568680944E+21      0.126308572800E+21      0.131491137695E+21
     -0.103903903904E+01      0.135991935004E+21      0.131233929383E+21      0.126249725454E+21      0.131158529947E+21
     -0.103503503504E+01      0.135332005409E+21      0.130841744008E+21      0.126131584221E+21      0.130768444546E+21
     -0.103103103103E+01      0.134615788497E+21      0.130389877295E+21      0.125951869475E+21      0.130319178422E+21
     -0.102702702703E+01      0.133842884517E+21      0.129876428736E+21      0.125708696655E+21      0.129809336636E+21
     -0.102302302302E+01      0.133013017829E+21      0.129299837810E+21      0.125400362534E+21      0.129237739391E+21
     -0.101901901902E+01      0.132125985927E+21      0.128658875735E+21      0.125025175038E+21      0.128603345567E+21
     -0.101501501502E+01      0.131181635324E+21      0.127952646691E+21      0.124581362175E+21      0.127905214730E+21
     -0.101101101101E+01      0.130179878499E+21      0.127180605668E+21      0.124067080801E+21      0.127142521656E+21
     -0.100700700701E+01      0.129120756446E+21      0.126342594077E+21      0.123480527060E+21      0.126314625861E+21
     -0.100300300300E+01      0.128004539378E+21      0.125438887072E+21      0.122820130417E+21      0.125421185622E+21
     -0.998998998999E+00      0.126831846734E+21      0.124470240454E+21      0.122084795601E+21      0.124462294263E+21
     -0.994994994995E+00      0.125603760086E+21      0.123437921896E+21      0.121274145177E+21      0.123438609053E+21
     -0.990990990991E+00      0.124321901482E+21      0.122343712492E+21      0.120388712879E+21      0.122351442284E+21
     -0.986986986987E+00      0.122988456118E+21      0.121189870161E+21      0.119430045596E+21      0.121202790625E+21
     -0.982982982983E+00      0.121606130602E+21      0.119979055059E+21      0.118400689286E+21      0.119995291649E+21
     -0.978978978979E+00      0.120178053158E+21      0.118714226302E+21      0.117304057424E+21      0.118732112295E+21
     -0.974974974975E+00      0.118707635513E+21      0.117398526521E+21      0.116144204547E+21      0.117416788861E+21
     -0.970970970971E+00      0.117198424010E+21      0.116035173717E+21      0.114925546062E+21      0.116053047929E+21
     -0.966966966967E+00      0.115653967553E+21      0.114627377726E+21      0.113652574172E+21      0.114644639817E+21
     -0.962962962963E+00      0.114077722655E+21      0.113178291843E+21      0.112329616892E+21      0.113195210463E+21
     -0.958958958959E+00      0.112473003741E+21      0.111691000786E+21      0.110960673906E+21      0.111708226144E+21
