             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.118318318318E+01      0.356044867224E+00      0.165855036493E+00      0.577463589992E-01      0.193215420905E+00
     -0.117917917918E+01      0.393133068071E+00      0.175427006344E+00      0.549788974639E-01      0.207846323960E+00
     -0.117517517518E+01      0.423376072763E+00      0.182199833739E+00      0.519244828815E-01      0.219166796461E+00
     -0.117117117117E+01      0.445422962937E+00      0.186132853816E+00      0.488697602405E-01      0.226808525665E+00
     -0.116716716717E+01      0.458405781625E+00      0.187313445931E+00      0.460651939193E-01      0.230594807158E+00
     -0.116316316316E+01      0.461971452152E+00      0.185935739010E+00      0.437168693355E-01      0.230541353499E+00
     -0.115915915916E+01      0.456269495082E+00      0.182276502852E+00      0.419855865081E-01      0.226843861481E+00
     -0.115515515516E+01      0.441901806873E+00      0.176670151568E+00      0.409914247326E-01      0.219854461058E+00
     -0.115115115115E+01      0.419842896059E+00      0.169483632413E+00      0.408210546426E-01      0.210049194372E+00
     -0.114714714715E+01      0.391340290338E+00      0.161091299516E+00      0.415347300662E-01      0.197988773307E+00
     -0.114314314314E+01      0.357805900208E+00      0.151850026063E+00      0.431702624982E-01      0.184275396256E+00
     -0.113913913914E+01      0.320709876095E+00      0.142075681713E+00      0.457423464138E-01      0.169509301407E+00
     -0.113513513514E+01      0.281488266112E+00      0.132023168796E+00      0.492371157894E-01      0.154249516899E+00
     -0.113113113113E+01      0.241473841610E+00      0.121872828686E+00      0.536033447085E-01      0.138983338335E+00
     -0.112712712713E+01      0.201855617821E+00      0.111725801802E+00      0.587427831348E-01      0.124108067586E+00
     -0.112312312312E+01      0.163667495626E+00      0.101609879388E+00      0.645023764663E-01      0.109926583827E+00
     -0.111911911912E+01      0.127801350817E+00      0.914958765805E-01      0.706704417427E-01      0.966558897134E-01
     -0.111511511512E+01      0.950361502127E-01      0.813230073008E-01      0.769775050582E-01      0.844455541906E-01
     -0.111111111111E+01      0.660731908797E-01      0.710304505370E-01      0.831010321888E-01      0.734015578685E-01
     -0.110710710711E+01      0.415685479680E-01      0.605914333458E-01      0.886724714873E-01      0.636108176004E-01
     -0.110310310310E+01      0.221568207210E-01      0.500458690738E-01      0.932854858064E-01      0.551627252004E-01
     -0.109909909910E+01      0.846436252977E-02      0.395280635030E-01      0.965060824070E-01      0.481661694799E-01
     -0.109509509510E+01      0.111421143282E-02      0.292873326599E-01      0.978879655295E-01      0.427631698741E-01
     -0.109109109109E+01      0.727740181378E-03      0.197013540146E-01      0.969986587997E-01      0.391425843319E-01
     -0.108708708709E+01      0.792873685395E-02      0.112840782111E-01      0.934624008234E-01      0.375584052962E-01
