             #Energy(eV)           XX(uW/cm/K^2)           YY(uW/cm/K^2)           ZZ(uW/cm/K^2)      Average(uW/cm/K^2)
     -0.108708708709E+01      0.751086175499E+01      0.751086175499E+01      0.751086175499E+01      0.751086175499E+01
     -0.108308308308E+01      0.752571346783E+01      0.752571346783E+01      0.752571346783E+01      0.752571346783E+01
     -0.107907907908E+01      0.751179376663E+01      0.751179376663E+01      0.751179376663E+01      0.751179376663E+01
     -0.107507507508E+01      0.746756375467E+01      0.746756375467E+01      0.746756375467E+01      0.746756375467E+01
     -0.107107107107E+01      0.739284418763E+01      0.739284418763E+01      0.739284418762E+01      0.739284418763E+01
     -0.106706706707E+01      0.728922163907E+01      0.728922163907E+01      0.728922163907E+01      0.728922163907E+01
     -0.106306306306E+01      0.716009011022E+01      0.716009011022E+01      0.716009011022E+01      0.716009011022E+01
     -0.105905905906E+01      0.701031413788E+01      0.701031413788E+01      0.701031413788E+01      0.701031413788E+01
     -0.105505505506E+01      0.684560570376E+01      0.684560570376E+01      0.684560570376E+01      0.684560570376E+01
     -0.105105105105E+01      0.667178039544E+01      0.667178039544E+01      0.667178039544E+01      0.667178039544E+01
     -0.104704704705E+01      0.649407752925E+01      0.649407752925E+01      0.649407752925E+01      0.649407752925E+01
     -0.104304304304E+01      0.631669473593E+01      0.631669473593E+01      0.631669473593E+01      0.631669473593E+01
     -0.103903903904E+01      0.614261803140E+01      0.614261803140E+01      0.614261803140E+01      0.614261803140E+01
     -0.103503503504E+01      0.597374884330E+01      0.597374884330E+01      0.597374884330E+01      0.597374884330E+01
     -0.103103103103E+01      0.581126140756E+01      0.581126140756E+01      0.581126140756E+01      0.581126140756E+01
     -0.102702702703E+01      0.565608023410E+01      0.565608023410E+01      0.565608023410E+01      0.565608023410E+01
     -0.102302302302E+01      0.550935259663E+01      0.550935259663E+01      0.550935259663E+01      0.550935259663E+01
     -0.101901901902E+01      0.537280420306E+01      0.537280420306E+01      0.537280420306E+01      0.537280420306E+01
     -0.101501501502E+01      0.524890217692E+01      0.524890217692E+01      0.524890217692E+01      0.524890217692E+01
     -0.101101101101E+01      0.514079905564E+01      0.514079905564E+01      0.514079905564E+01      0.514079905564E+01
     -0.100700700701E+01      0.505208228211E+01      0.505208228211E+01      0.505208228211E+01      0.505208228211E+01
     -0.100300300300E+01      0.498639295256E+01      0.498639295256E+01      0.498639295256E+01      0.498639295256E+01
     -0.998998998999E+00      0.494699690208E+01      0.494699690208E+01      0.494699690208E+01      0.494699690208E+01
     -0.994994994995E+00      0.493638952010E+01      0.493638952010E+01      0.493638952010E+01      0.493638952010E+01
     -0.990990990991E+00      0.495599892258E+01      0.495599892258E+01      0.495599892258E+01      0.495599892258E+01
     -0.986986986987E+00      0.500602893281E+01      0.500602893281E+01      0.500602893281E+01      0.500602893281E+01
     -0.982982982983E+00      0.508545995340E+01      0.508545995340E+01      0.508545995340E+01      0.508545995340E+01
     -0.978978978979E+00      0.519220346062E+01      0.519220346062E+01      0.519220346062E+01      0.519220346062E+01
     -0.974974974975E+00      0.532338257831E+01      0.532338257831E+01      0.532338257831E+01      0.532338257831E+01
     -0.970970970971E+00      0.547568653941E+01      0.547568653941E+01      0.547568653941E+01      0.547568653941E+01
     -0.966966966967E+00      0.564572544860E+01      0.564572544860E+01      0.564572544860E+01      0.564572544860E+01
     -0.962962962963E+00      0.583030253942E+01      0.583030253942E+01      0.583030253942E+01      0.583030253942E+01
     -0.958958958959E+00      0.602653208401E+01      0.602653208401E+01      0.602653208401E+01      0.602653208401E+01
     -0.954954954955E+00      0.623176339913E+01      0.623176339913E+01      0.623176339913E+01      0.623176339913E+01
