             #Energy(eV)                XX(uV/K)                YY(uV/K)                ZZ(uV/K)           Average(uV/K)
     -0.131931931932E+01      0.111352295974E+02      0.111352295974E+02      0.111352295974E+02      0.111352295974E+02
     -0.131531531532E+01      0.110202417264E+02      0.110202417264E+02      0.110202417264E+02      0.110202417264E+02
     -0.131131131131E+01      0.109221259792E+02      0.109221259792E+02      0.109221259792E+02      0.109221259792E+02
     -0.130730730731E+01      0.108475155398E+02      0.108475155398E+02      0.108475155398E+02      0.108475155398E+02
     -0.130330330330E+01      0.108031098725E+02      0.108031098725E+02      0.108031098725E+02      0.108031098725E+02
     -0.129929929930E+01      0.107949729293E+02      0.107949729293E+02      0.107949729293E+02      0.107949729293E+02
     -0.129529529530E+01      0.108277856462E+02      0.108277856462E+02      0.108277856462E+02      0.108277856462E+02
     -0.129129129129E+01      0.109041868616E+02      0.109041868616E+02      0.109041868616E+02      0.109041868616E+02
     -0.128728728729E+01      0.110243278894E+02      0.110243278894E+02      0.110243278894E+02      0.110243278894E+02
     -0.128328328328E+01      0.111857250397E+02      0.111857250397E+02      0.111857250397E+02      0.111857250397E+02
     -0.127927927928E+01      0.113834337392E+02      0.113834337392E+02      0.113834337392E+02      0.113834337392E+02
     -0.127527527528E+01      0.116105042793E+02      0.116105042793E+02      0.116105042793E+02      0.116105042793E+02
     -0.127127127127E+01      0.118586277785E+02      0.118586277785E+02      0.118586277785E+02      0.118586277785E+02
     -0.126726726727E+01      0.121188515169E+02      0.121188515169E+02      0.121188515169E+02      0.121188515169E+02
     -0.126326326326E+01      0.123822390426E+02      0.123822390426E+02      0.123822390426E+02      0.123822390426E+02
     -0.125925925926E+01      0.126403710304E+02      0.126403710304E+02      0.126403710304E+02      0.126403710304E+02
     -0.125525525526E+01      0.128856230992E+02      0.128856230992E+02      0.128856230992E+02      0.128856230992E+02
     -0.125125125125E+01      0.131112095257E+02      0.131112095257E+02      0.131112095257E+02      0.131112095257E+02
     -0.124724724725E+01      0.133110377209E+02      0.133110377209E+02      0.133110377209E+02      0.133110377209E+02
     -0.124324324324E+01      0.134794662649E+02      0.134794662649E+02      0.134794662649E+02      0.134794662649E+02
     -0.123923923924E+01      0.136110876094E+02      0.136110876094E+02      0.136110876094E+02      0.136110876094E+02
     -0.123523523524E+01      0.137006558512E+02      0.137006558512E+02      0.137006558512E+02      0.137006558512E+02
     -0.123123123123E+01      0.137432465098E+02      0.137432465098E+02      0.137432465098E+02      0.137432465098E+02
     -0.122722722723E+01      0.137346734881E+02      0.137346734881E+02      0.137346734881E+02      0.137346734881E+02
     -0.122322322322E+01      0.136721117752E+02      0.136721117752E+02      0.136721117752E+02      0.136721117752E+02
     -0.121921921922E+01      0.135548029549E+02      0.135548029549E+02      0.135548029549E+02      0.135548029549E+02
     -0.121521521522E+01      0.133846757723E+02      0.133846757723E+02      0.133846757723E+02      0.133846757723E+02
     -0.121121121121E+01      0.131667120760E+02      0.131667120760E+02      0.131667120760E+02      0.131667120760E+02
     -0.120720720721E+01      0.129089338781E+02      0.129089338781E+02      0.129089338781E+02      0.129089338781E+02
     -0.120320320320E+01      0.126219696761E+02      0.126219696761E+02      0.126219696761E+02      0.126219696761E+02
     -0.119919919920E+01      0.123182546944E+02      0.123182546944E+02      0.123182546944E+02      0.123182546944E+02
     -0.119519519520E+01      0.120110025183E+02      0.120110025183E+02      0.120110025183E+02      0.120110025183E+02
     -0.119119119119E+01      0.117131317346E+02      0.117131317346E+02      0.117131317346E+02      0.117131317346E+02
