    #kx         ky         Energy       Sx       Sy     Sz
    #Grid_Size:    44   44
    #Band_Index:    4
    0.660500   -0.020071  -12.964961  -0.018  -0.743  -0.222
    0.695263   -0.040141  -12.925416  -0.029  -0.727  -0.276
    0.730026   -0.060212  -12.889599  -0.031  -0.701  -0.342
   -0.764789    0.802820  -12.857516  -0.022  -0.665  -0.419
   -0.730026    0.782750  -12.830469   0.003  -0.607  -0.502
   -0.695263    0.762679  -12.809760   0.055  -0.512  -0.585
   -0.660500    0.742609  -12.795392   0.131  -0.381  -0.668
   -0.625737    0.722538  -12.787981   0.219  -0.232  -0.720
   -0.590973    0.702468  -12.788007   0.308  -0.079  -0.718
   -0.556210    0.682397  -12.795460   0.397   0.079  -0.662
   -0.521447    0.662327  -12.809746   0.473   0.211  -0.585
   -0.486684    0.642256  -12.830503   0.529   0.302  -0.503
   -0.451921    0.622186  -12.857680   0.564   0.351  -0.418
   -0.417158    0.602115  -12.889601   0.591   0.377  -0.341
   -0.382395    0.582045  -12.925454   0.614   0.389  -0.276
   -0.347631    0.561974  -12.965136   0.634   0.387  -0.223
   -0.312868    0.541904  -13.006597   0.652   0.377  -0.178
   -0.278105    0.521833  -13.049047   0.668   0.360  -0.140
   -0.243342    0.501763  -13.092345   0.684   0.336  -0.109
   -0.208579    0.481692  -13.134658   0.699   0.307  -0.083
   -0.173816    0.461622  -13.175424   0.713   0.272  -0.061
