#K-Path     Energy-Level
#Band-index    1
  2.158      -10.9906
  2.189      -11.0017
  2.221      -11.0133
  2.252      -11.0252
  2.284      -11.0372
  2.315      -11.0493
  2.346      -11.0611
  2.378      -11.0726
  2.409      -11.0836
  2.441      -11.0941
  2.472      -11.1037
  2.504      -11.1126
  2.535      -11.1204
  2.566      -11.1272
  2.598      -11.1329
  2.629      -11.1374
  2.661      -11.1406
  2.692      -11.1425
  2.723      -11.1432
#Band-index   10
  2.723       -7.7909
  2.692       -7.7908
  2.661       -7.7906
  2.629       -7.7901
  2.598       -7.7895
  2.566       -7.7887
  2.535       -7.7879
  2.504       -7.7869
  2.472       -7.7859
  2.441       -7.7849
  2.409       -7.7839
  2.378       -7.7829
  2.346       -7.7820
  2.315       -7.7812
  2.284       -7.7805
  2.252       -7.7799
  2.221       -7.7794
  2.189       -7.7790
  2.158       -7.7788
  2.126       -7.7787
  2.095       -7.7786
  2.064       -7.7786
  2.032       -7.7787
  2.001       -7.7788
  1.969       -7.7788
  1.938       -7.7789
  1.907       -7.7790
  1.875       -7.7790
  1.875       -7.7790
  1.844       -7.7790
  1.812       -7.7790
  1.781       -7.7789
  1.749       -7.7789
  1.718       -7.7788
  1.686       -7.7787
  1.655       -7.7787
  1.623       -7.7786
  1.592       -7.7786
  1.560       -7.7785
  1.529       -7.7785
  1.497       -7.7785
  1.466       -7.7786
  1.434       -7.7786
  1.403       -7.7786
  1.371       -7.7787
  1.340       -7.7787
  1.308       -7.7788
  1.277       -7.7788
  1.245       -7.7789
  1.214       -7.7789
  1.182       -7.7789
  1.182       -7.7789
  1.150       -7.7790
  1.117       -7.7794
  1.085       -7.7800
  1.052       -7.7809
  1.019       -7.7819
  0.987       -7.7830
  0.954       -7.7843
  0.921       -7.7855
  0.889       -7.7868
  0.856       -7.7879
  0.823       -7.7889
  0.791       -7.7898
  0.758       -7.7904
  0.725       -7.7908
  0.693       -7.7909
  0.693       -7.7909
  0.661       -7.7909
  0.630       -7.7906
  0.598       -7.7902
  0.567       -7.7897
  0.535       -7.7890
  0.504       -7.7882
  0.472       -7.7873
  0.441       -7.7864
  0.409       -7.7853
  0.378       -7.7842
  0.346       -7.7831
  0.315       -7.7820
  0.283       -7.7810
  0.252       -7.7799
  0.220       -7.7789
  0.189       -7.7781
  0.157       -7.7773
  0.126       -7.7766
  0.094       -7.7761
  0.063       -7.7757
  0.031       -7.7755
  0.000       -7.7754
#Band-index   11
  0.000       -7.7754
  0.031       -7.7753
  0.063       -7.7751
  0.094       -7.7748
  0.126       -7.7745
  0.157       -7.7741
  0.189       -7.7740
  0.220       -7.7751
  0.252       -7.7764
  0.283       -7.7777
  0.315       -7.7791
  0.346       -7.7806
  0.378       -7.7820
  0.409       -7.7834
  0.441       -7.7848
  0.472       -7.7861
  0.504       -7.7873
  0.535       -7.7883
  0.567       -7.7892
  0.598       -7.7899
  0.630       -7.7905
  0.661       -7.7908
  0.693       -7.7909
  0.693       -7.7909
  0.725       -7.7908
  0.758       -7.7904
  0.791       -7.7898
  0.823       -7.7889
  0.856       -7.7879
  0.889       -7.7868
  0.921       -7.7855
  0.954       -7.7843
  0.987       -7.7830
  1.019       -7.7819
  1.052       -7.7809
  1.085       -7.7800
  1.117       -7.7794
  1.150       -7.7790
  1.182       -7.7789
  1.182       -7.7789
  1.214       -7.7788
  1.245       -7.7785
  1.277       -7.7781
  1.308       -7.7775
  1.340       -7.7768
  1.371       -7.7761
  1.403       -7.7753
  1.434       -7.7745
  1.466       -7.7746
  1.497       -7.7751
  1.529       -7.7755
  1.560       -7.7760
  1.592       -7.7765
  1.623       -7.7769
  1.655       -7.7774
  1.686       -7.7778
  1.718       -7.7781
  1.749       -7.7784
  1.781       -7.7787
  1.812       -7.7788
  1.844       -7.7790
  1.875       -7.7790
  1.875       -7.7790
  1.907       -7.7790
  1.938       -7.7789
  1.969       -7.7788
  2.001       -7.7788
  2.032       -7.7787
  2.064       -7.7786
  2.095       -7.7786
  2.126       -7.7787
