#K-Path     Energy-Level
#Band-index    1
  1.781        8.4041
  1.739        8.3404
  1.697        8.3211
  1.697        8.3211
  1.655        8.3422
  1.614        8.4030
  1.573        8.5017
  1.531        8.6358
  1.490        8.7978
  1.448        8.9834
  1.407        9.1861
  1.366        9.3979
  1.324        9.6151
  1.283        9.8293
  1.241        9.6077
  1.200        9.3068
  1.159        9.3282
  1.117        9.4924
  1.076        9.6680
  1.035        9.8546
  0.993       10.0519
  0.952       10.2594
  0.910       10.4764
  0.869       10.7021
  0.828       10.9348
  0.786       11.1731
  0.745       11.4142
  0.704       11.6541
  0.662       11.8870
  0.621       12.1037
  0.579       12.2109
  0.538       12.3155
  0.497       12.4178
  0.455       12.5165
  0.414       12.5663
  0.372       12.5764
  0.331       12.7357
  0.290       12.8574
  0.248       12.9727
  0.207       13.2603
  0.166       13.6016
  0.124       13.9771
  0.083       14.3683
  0.041       14.7501
  0.000       15.0710
#Band-index   11
  0.000       15.0714
  0.041       14.9231
  0.083       14.5973
  0.124       14.2127
  0.166       13.8145
  0.207       13.4496
  0.248       13.1739
  0.290       12.9527
  0.331       12.7846
  0.372       12.7012
  0.414       12.6119
  0.455       12.5610
  0.497       12.5250
  0.538       12.4361
  0.579       12.2918
  0.621       12.1046
  0.662       11.9968
  0.704       11.8882
  0.745       11.7774
  0.786       11.6663
  0.828       11.5513
  0.869       11.4324
  0.910       11.3102
  0.952       11.1830
  0.993       11.0495
  1.035       10.9082
  1.076       10.7575
  1.117       10.5952
  1.159       10.4236
  1.200       10.2371
  1.241       10.0380
  1.283        9.8935
  1.324       10.0840
  1.366        9.9752
  1.407        9.8788
  1.448        9.7949
  1.490        9.7235
  1.531        9.6649
  1.573        9.6191
  1.614        9.5863
  1.655        9.5666
  1.697        9.5600
  1.697        9.5600
  1.739        9.5668
  1.781        9.5871
  1.823        9.6208
  1.865        9.6679
  1.907        9.7281
  1.949        9.8012
  1.991        9.8872
  2.033        9.9857
  2.075       10.0967
  2.116       10.2202
  2.158       10.3560
  2.200       10.5043
  2.242       10.6651
  2.284       10.8384
  2.326       11.0242
  2.368       11.2225
  2.410       11.4333
  2.452       11.6566
  2.494       11.8923
  2.536       12.1404
  2.578       12.4007
  2.620       12.6733
  2.662       12.9578
  2.704       13.2540
  2.746       13.5617
  2.788       13.8802
  2.830       14.2069
  2.872       14.3223
  2.914       13.8892
  2.956       13.6881
  2.998       13.7627
  3.040       13.4903
  3.082       13.0971
  3.124       12.6957
  3.166       13.0879
  3.166       13.0879
  3.208       13.0941
  3.251       13.1125
  3.293       13.1431
  3.336       13.1859
  3.378       13.2407
  3.421       13.3073
  3.463       13.3855
  3.505       13.4753
  3.548       13.5761
  3.590       13.6874
  3.633       13.8087
  3.675       13.9392
  3.717       14.0775
  3.760       14.2227
  3.802       14.3730
  3.845       14.5261
  3.887       14.6802
  3.930       14.8338
  3.972       14.9863
  4.014       15.0714
#Band-index   12
  4.014       15.1405
  3.972       15.2140
  3.930       15.1189
  3.887       14.9522
  3.845       14.7707
  3.802       14.5913
  3.760       14.4191
  3.717       14.2563
  3.675       14.1038
  3.633       13.9621
  3.590       13.8318
  3.548       13.7130
  3.505       13.6063
  3.463       13.5116
  3.421       13.4292
  3.378       13.3595
  3.336       13.3022
  3.293       13.2575
  3.251       13.2256
  3.208       13.2065
  3.166       13.2001
  3.166       13.2001
  3.124       13.6035
  3.082       14.0680
  3.040       14.5430
  2.998       14.4493
  2.956       14.6377
  2.914       14.9104
  2.872       14.5719
  2.830       14.7679
  2.788       15.1437
  2.746       15.4564
  2.704       15.6797
  2.662       15.7962
  2.620       15.5988
  2.578       15.1048
  2.536       14.6158
  2.494       14.1281
  2.452       13.6459
  2.410       13.1745
  2.368       12.7111
  2.326       12.2584
  2.284       11.8206
  2.242       11.3975
  2.200       10.9871
  2.158       10.6026
  2.116       10.2393
  2.075       10.1266
