  #energy          xx             yy              zz              xy              yz              zx
   0.667      0.6103E-03      0.6103E-03      0.6103E-03             NaN             NaN             NaN
   0.670      0.6135E-03      0.6135E-03      0.6135E-03             NaN             NaN             NaN
   0.674      0.6166E-03      0.6166E-03      0.6166E-03             NaN             NaN             NaN
   0.677      0.6198E-03      0.6198E-03      0.6198E-03             NaN             NaN             NaN
   0.680      0.6230E-03      0.6230E-03      0.6230E-03             NaN             NaN             NaN
   0.684      0.6262E-03      0.6262E-03      0.6262E-03             NaN             NaN             NaN
   0.687      0.6293E-03      0.6293E-03      0.6293E-03             NaN             NaN             NaN
   0.690      0.6325E-03      0.6325E-03      0.6325E-03             NaN             NaN             NaN
   0.694      0.6357E-03      0.6357E-03      0.6357E-03             NaN             NaN             NaN
   0.697      0.6388E-03      0.6388E-03      0.6388E-03             NaN             NaN             NaN
   0.700      0.6420E-03      0.6420E-03      0.6420E-03             NaN             NaN             NaN
   0.704      0.6451E-03      0.6451E-03      0.6451E-03             NaN             NaN             NaN
   0.707      0.6482E-03      0.6482E-03      0.6482E-03             NaN             NaN             NaN
   0.710      0.6514E-03      0.6514E-03      0.6514E-03             NaN             NaN             NaN
   0.714      0.6545E-03      0.6545E-03      0.6545E-03             NaN             NaN             NaN
   0.717      0.6576E-03      0.6576E-03      0.6576E-03             NaN             NaN             NaN
   0.720      0.6607E-03      0.6607E-03      0.6607E-03             NaN             NaN             NaN
   0.724      0.6638E-03      0.6638E-03      0.6638E-03             NaN             NaN             NaN
   0.727      0.6669E-03      0.6669E-03      0.6669E-03             NaN             NaN             NaN
   0.730      0.6700E-03      0.6700E-03      0.6700E-03             NaN             NaN             NaN
   0.734      0.6731E-03      0.6731E-03      0.6731E-03             NaN             NaN             NaN
   0.737      0.6762E-03      0.6762E-03      0.6762E-03             NaN             NaN             NaN
   0.740      0.6793E-03      0.6793E-03      0.6793E-03             NaN             NaN             NaN
   0.744      0.6823E-03      0.6823E-03      0.6823E-03             NaN             NaN             NaN
   0.747      0.6860E-03      0.6860E-03      0.6860E-03             NaN             NaN             NaN
   0.750      0.6890E-03      0.6890E-03      0.6890E-03             NaN             NaN             NaN
   0.754      0.6921E-03      0.6921E-03      0.6921E-03             NaN             NaN             NaN
   0.757      0.6951E-03      0.6951E-03      0.6951E-03             NaN             NaN             NaN
   0.760      0.6982E-03      0.6982E-03      0.6982E-03             NaN             NaN             NaN
   0.764      0.7012E-03      0.7012E-03      0.7012E-03             NaN             NaN             NaN
   0.767      0.7048E-03      0.7048E-03      0.7048E-03             NaN             NaN             NaN
   0.770      0.7078E-03      0.7078E-03      0.7078E-03             NaN             NaN             NaN
   0.774      0.7109E-03      0.7109E-03      0.7109E-03             NaN             NaN             NaN
   0.777      0.7139E-03      0.7139E-03      0.7139E-03             NaN             NaN             NaN
   0.780      0.7174E-03      0.7174E-03      0.7174E-03             NaN             NaN             NaN
   0.784      0.7204E-03      0.7204E-03      0.7204E-03             NaN             NaN             NaN
   0.787      0.7234E-03      0.7234E-03      0.7234E-03             NaN             NaN             NaN
   0.790      0.7270E-03      0.7270E-03      0.7270E-03             NaN             NaN             NaN
   0.794      0.7300E-03      0.7300E-03      0.7300E-03             NaN             NaN             NaN
   0.797      0.7329E-03      0.7329E-03      0.7329E-03             NaN             NaN             NaN
   0.800      0.7365E-03      0.7365E-03      0.7365E-03             NaN             NaN             NaN
   0.804      0.7394E-03      0.7394E-03      0.7394E-03             NaN             NaN             NaN
   0.807      0.7424E-03      0.7424E-03      0.7424E-03             NaN             NaN             NaN
   0.810      0.7459E-03      0.7459E-03      0.7459E-03             NaN             NaN             NaN
   0.814      0.7488E-03      0.7488E-03      0.7488E-03             NaN             NaN             NaN
   0.817      0.7524E-03      0.7524E-03      0.7524E-03             NaN             NaN             NaN
   0.820      0.7553E-03      0.7553E-03      0.7553E-03             NaN             NaN             NaN
   0.824      0.7588E-03      0.7588E-03      0.7588E-03             NaN             NaN             NaN
   0.827      0.7617E-03      0.7617E-03      0.7617E-03             NaN             NaN             NaN
   0.830      0.7652E-03      0.7652E-03      0.7652E-03             NaN             NaN             NaN
   0.834      0.7681E-03      0.7681E-03      0.7681E-03             NaN             NaN             NaN
   0.837      0.7715E-03      0.7715E-03      0.7715E-03             NaN             NaN             NaN
   0.840      0.7744E-03      0.7744E-03      0.7744E-03             NaN             NaN             NaN
   0.844      0.7779E-03      0.7779E-03      0.7779E-03             NaN             NaN             NaN
   0.847      0.7807E-03      0.7807E-03      0.7807E-03             NaN             NaN             NaN
   0.850      0.7841E-03      0.7841E-03      0.7841E-03             NaN             NaN             NaN
   0.854      0.7870E-03      0.7870E-03      0.7870E-03             NaN             NaN             NaN
   0.857      0.7904E-03      0.7904E-03      0.7904E-03             NaN             NaN             NaN
   0.860      0.7938E-03      0.7938E-03      0.7938E-03             NaN             NaN             NaN
   0.864      0.7967E-03      0.7967E-03      0.7967E-03             NaN             NaN             NaN
   0.867      0.8001E-03      0.8001E-03      0.8001E-03             NaN             NaN             NaN
   0.870      0.8035E-03      0.8035E-03      0.8035E-03             NaN             NaN             NaN
   0.874      0.8063E-03      0.8063E-03      0.8063E-03             NaN             NaN             NaN
   0.877      0.8096E-03      0.8096E-03      0.8096E-03             NaN             NaN             NaN
   0.880      0.8130E-03      0.8130E-03      0.8130E-03             NaN             NaN             NaN
   0.884      0.8158E-03      0.8158E-03      0.8158E-03             NaN             NaN             NaN
   0.887      0.8192E-03      0.8192E-03      0.8192E-03             NaN             NaN             NaN
   0.890      0.8225E-03      0.8225E-03      0.8225E-03             NaN             NaN             NaN
   0.894      0.8258E-03      0.8258E-03      0.8258E-03             NaN             NaN             NaN
   0.897      0.8292E-03      0.8292E-03      0.8292E-03             NaN             NaN             NaN
   0.900      0.8319E-03      0.8319E-03      0.8319E-03             NaN             NaN             NaN
   0.904      0.8352E-03      0.8352E-03      0.8352E-03             NaN             NaN             NaN
   0.907      0.8385E-03      0.8385E-03      0.8385E-03             NaN             NaN             NaN
   0.910      0.8418E-03      0.8418E-03      0.8418E-03             NaN             NaN             NaN
   0.914      0.8451E-03      0.8451E-03      0.8451E-03             NaN             NaN             NaN
   0.917      0.8484E-03      0.8484E-03      0.8484E-03             NaN             NaN             NaN
   0.920      0.8517E-03      0.8517E-03      0.8517E-03             NaN             NaN             NaN
   0.924      0.8549E-03      0.8549E-03      0.8549E-03             NaN             NaN             NaN
   0.927      0.8576E-03      0.8576E-03      0.8576E-03             NaN             NaN             NaN
   0.930      0.8609E-03      0.8609E-03      0.8609E-03             NaN             NaN             NaN
   0.934      0.8641E-03      0.8641E-03      0.8641E-03             NaN             NaN             NaN
   0.937      0.8673E-03      0.8673E-03      0.8673E-03             NaN             NaN             NaN
   0.940      0.8705E-03      0.8705E-03      0.8705E-03             NaN             NaN             NaN
   0.944      0.8743E-03      0.8743E-03      0.8743E-03             NaN             NaN             NaN
   0.947      0.8775E-03      0.8775E-03      0.8775E-03             NaN             NaN             NaN
   0.950      0.8807E-03      0.8807E-03      0.8807E-03             NaN             NaN             NaN
   0.954      0.8839E-03      0.8839E-03      0.8839E-03             NaN             NaN             NaN
   0.957      0.8871E-03      0.8871E-03      0.8871E-03             NaN             NaN             NaN
   0.960      0.8903E-03      0.8903E-03      0.8903E-03             NaN             NaN             NaN
   0.964      0.8934E-03      0.8934E-03      0.8934E-03             NaN             NaN             NaN
   0.967      0.8966E-03      0.8966E-03      0.8966E-03             NaN             NaN             NaN
   0.970      0.9003E-03      0.9003E-03      0.9003E-03             NaN             NaN             NaN
   0.974      0.9034E-03      0.9034E-03      0.9034E-03             NaN             NaN             NaN
   0.977      0.9065E-03      0.9065E-03      0.9065E-03             NaN             NaN             NaN
   0.980      0.9097E-03      0.9097E-03      0.9097E-03             NaN             NaN             NaN
   0.984      0.9128E-03      0.9128E-03      0.9128E-03             NaN             NaN             NaN
   0.987      0.9164E-03      0.9164E-03      0.9164E-03             NaN             NaN             NaN
   0.990      0.9195E-03      0.9195E-03      0.9195E-03             NaN             NaN             NaN
   0.994      0.9226E-03      0.9226E-03      0.9226E-03             NaN             NaN             NaN
   0.997      0.9262E-03      0.9262E-03      0.9262E-03             NaN             NaN             NaN
   1.000      0.9293E-03      0.9293E-03      0.9293E-03             NaN             NaN             NaN
   1.004      0.9329E-03      0.9329E-03      0.9329E-03             NaN             NaN             NaN
   1.007      0.9359E-03      0.9359E-03      0.9359E-03             NaN             NaN             NaN
   1.010      0.9390E-03      0.9390E-03      0.9390E-03             NaN             NaN             NaN
   1.014      0.9425E-03      0.9425E-03      0.9425E-03             NaN             NaN             NaN
   1.017      0.9456E-03      0.9456E-03      0.9456E-03             NaN             NaN             NaN
   1.020      0.9491E-03      0.9491E-03      0.9491E-03             NaN             NaN             NaN
   1.024      0.9521E-03      0.9521E-03      0.9521E-03             NaN             NaN             NaN
   1.027      0.9557E-03      0.9557E-03      0.9557E-03             NaN             NaN             NaN
   1.030      0.9587E-03      0.9586E-03      0.9586E-03             NaN             NaN             NaN
   1.034      0.9622E-03      0.9622E-03      0.9622E-03             NaN             NaN             NaN
   1.037      0.9657E-03      0.9657E-03      0.9657E-03             NaN             NaN             NaN
   1.040      0.9686E-03      0.9686E-03      0.9686E-03             NaN             NaN             NaN
   1.044      0.9721E-03      0.9721E-03      0.9721E-03             NaN             NaN             NaN
   1.047      0.9751E-03      0.9751E-03      0.9751E-03             NaN             NaN             NaN
   1.050      0.9785E-03      0.9785E-03      0.9785E-03             NaN             NaN             NaN
   1.054      0.9820E-03      0.9820E-03      0.9820E-03             NaN             NaN             NaN
   1.057      0.9854E-03      0.9854E-03      0.9854E-03             NaN             NaN             NaN
   1.060      0.9883E-03      0.9883E-03      0.9883E-03             NaN             NaN             NaN
   1.064      0.9918E-03      0.9918E-03      0.9918E-03             NaN             NaN             NaN
   1.067      0.9952E-03      0.9952E-03      0.9952E-03             NaN             NaN             NaN
   1.070      0.9986E-03      0.9986E-03      0.9986E-03             NaN             NaN             NaN
